id,nieuwe_image_link,productnaam,old_image_link
58302065508677,https://ernst-afk.github.io/images-channable/boxr/BOXR_3_1-Pack_White.jpg,Bamboe Boxershorts Original 3+1 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_3_1-Pack_White.jpg?v=1781700838
58302065541445,https://ernst-afk.github.io/images-channable/boxr/BOXR_3_1-Pack_White.jpg,Bamboe Boxershorts Original 3+1 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_3_1-Pack_White.jpg?v=1781700838
58302065574213,https://ernst-afk.github.io/images-channable/boxr/BOXR_3_1-Pack_White.jpg,Bamboe Boxershorts Original 3+1 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_3_1-Pack_White.jpg?v=1781700838
58302065606981,https://ernst-afk.github.io/images-channable/boxr/BOXR_3_1-Pack_White.jpg,Bamboe Boxershorts Original 3+1 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_3_1-Pack_White.jpg?v=1781700838
58302065639749,https://ernst-afk.github.io/images-channable/boxr/BOXR_3_1-Pack_White.jpg,Bamboe Boxershorts Original 3+1 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_3_1-Pack_White.jpg?v=1781700838
58410930012485,https://ernst-afk.github.io/images-channable/boxr/boxr-original-autumn-3plus1pack.jpg,Bamboe Boxershorts Original 3+1 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/boxr-original-autumn-3plus1pack.jpg?v=1782294258
58410930045253,https://ernst-afk.github.io/images-channable/boxr/boxr-original-autumn-3plus1pack.jpg,Bamboe Boxershorts Original 3+1 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/boxr-original-autumn-3plus1pack.jpg?v=1782294258
58410930078021,https://ernst-afk.github.io/images-channable/boxr/boxr-original-autumn-3plus1pack.jpg,Bamboe Boxershorts Original 3+1 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/boxr-original-autumn-3plus1pack.jpg?v=1782294258
58410930110789,https://ernst-afk.github.io/images-channable/boxr/boxr-original-autumn-3plus1pack.jpg,Bamboe Boxershorts Original 3+1 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/boxr-original-autumn-3plus1pack.jpg?v=1782294258
58410930143557,https://ernst-afk.github.io/images-channable/boxr/boxr-original-autumn-3plus1pack.jpg,Bamboe Boxershorts Original 3+1 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/boxr-original-autumn-3plus1pack.jpg?v=1782294258
