image_link,nieuwe_image_link
https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_9_3-Pack_Black.jpg?v=1781701012,https://ernst-afk.github.io/images-channable/boxr/BOXR_9_3-Pack_Black.jpg
https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_9_3-Pack_Blue.jpg?v=1781701013,https://ernst-afk.github.io/images-channable/boxr/BOXR_9_3-Pack_Blue.jpg
https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_9_3-Pack_White.jpg?v=1781701013,https://ernst-afk.github.io/images-channable/boxr/BOXR_9_3-Pack_White.jpg
https://cdn.shopify.com/s/files/1/1015/8732/1157/files/Black-4x_-Blue-2x_-Grey-2x_cc7ada93-cc42-4689-8181-33b0aee19453.jpg?v=1779197156,https://ernst-afk.github.io/images-channable/boxr/Black-4x_-Blue-2x_-Grey-2x_cc7ada93-cc42-4689-8181-33b0aee19453.jpg
https://cdn.shopify.com/s/files/1/1015/8732/1157/files/boxr-original-autumn-2plus3pack.jpg?v=1782294258,https://ernst-afk.github.io/images-channable/boxr/boxr-original-autumn-2plus3pack.jpg
https://cdn.shopify.com/s/files/1/1015/8732/1157/files/boxr-original-autumn-3plus1pack.jpg?v=1782294258,https://ernst-afk.github.io/images-channable/boxr/boxr-original-autumn-3plus1pack.jpg
https://cdn.shopify.com/s/files/1/1015/8732/1157/files/boxr-original-autumn-5plus5pack.jpg?v=1782294258,https://ernst-afk.github.io/images-channable/boxr/boxr-original-autumn-5plus5pack.jpg
https://cdn.shopify.com/s/files/1/1015/8732/1157/files/boxr-original-autumn-6plus2pack.jpg?v=1782294258,https://ernst-afk.github.io/images-channable/boxr/boxr-original-autumn-6plus2pack.jpg
https://cdn.shopify.com/s/files/1/1015/8732/1157/files/boxr-original-autumn-9plus3pack.jpg?v=1782294259,https://ernst-afk.github.io/images-channable/boxr/boxr-original-autumn-9plus3pack.jpg
https://cdn.shopify.com/s/files/1/1015/8732/1157/files/boxr-original-summer-2plus3-pack.jpg?v=1782219857,https://ernst-afk.github.io/images-channable/boxr/boxr-original-summer-2plus3-pack.jpg
https://cdn.shopify.com/s/files/1/1015/8732/1157/files/boxr-original-summer-3plus1-pack.jpg?v=1782219856,https://ernst-afk.github.io/images-channable/boxr/boxr-original-summer-3plus1-pack.jpg
https://cdn.shopify.com/s/files/1/1015/8732/1157/files/boxr-original-summer-5plus5-pack.jpg?v=1782219857,https://ernst-afk.github.io/images-channable/boxr/boxr-original-summer-5plus5-pack.jpg
https://cdn.shopify.com/s/files/1/1015/8732/1157/files/boxr-original-summer-6plus2-pack.jpg?v=1782219858,https://ernst-afk.github.io/images-channable/boxr/boxr-original-summer-6plus2-pack.jpg
https://cdn.shopify.com/s/files/1/1015/8732/1157/files/boxr-original-summer-9plus3-pack.jpg?v=1782219856,https://ernst-afk.github.io/images-channable/boxr/boxr-original-summer-9plus3-pack.jpg
